,Besancenot,Buffet,Schivardi,Bayrou,Bové,Voynet,de Villiers,Royal,Nihous,Le Pen,Laguiller,Sarkozy
28,5,4,0,0,4,3,0,2,0,0,0,0
485,0,0,0,2,0,0,0,4,0,0,0,0
554,0,0,0,0,0,0,0,1,0,1,0,0
280,5,5,0,2,5,2,0,6,2,0,2,0
149,2,0,1,6,0,5,4,4,1,4,3,0
552,5,4,0,0,5,5,0,6,0,0,4,0
25,4,4,1,5,5,6,4,4,1,1,5,0
429,0,0,0,0,0,3,0,5,0,0,0,1
33,6,0,0,3,4,0,1,4,0,1,0,1
360,0,0,1,0,0,0,1,3,1,1,0,1
381,1,4,1,4,2,5,1,5,1,1,0,1
392,3,3,1,4,1,1,1,3,2,1,0,1
396,3,1,1,4,3,1,2,1,1,1,1,1
504,1,1,1,2,2,1,1,2,1,1,1,1
220,1,3,1,4,1,2,1,2,1,1,1,1
337,3,3,1,4,3,1,1,3,1,1,1,1
248,2,2,1,5,1,2,1,3,1,1,1,1
481,1,1,1,5,4,3,1,3,1,1,1,1
463,2,1,1,6,3,3,3,3,1,1,1,1
490,4,2,2,2,2,2,1,4,1,1,1,1
32,1,1,1,3,1,4,1,4,1,1,1,1
123,4,1,1,6,1,1,1,5,1,1,1,1
308,1,1,1,4,1,2,1,5,1,1,1,1
501,2,2,1,6,2,2,1,5,1,1,1,1
339,1,1,1,4,2,2,2,5,1,1,1,1
491,1,1,1,3,1,1,1,6,1,1,1,1
444,2,2,1,6,2,2,1,6,1,1,1,1
350,1,1,1,4,1,3,1,6,1,1,1,1
476,1,3,1,5,1,3,1,6,1,1,1,1
103,2,2,2,4,2,3,1,6,1,1,1,1
183,2,3,1,6,4,4,2,6,1,1,1,1
507,1,1,1,5,1,2,3,1,2,1,1,1
246,5,3,2,5,2,3,4,1,2,1,1,1
171,2,3,1,5,2,0,1,4,2,1,1,1
454,2,1,1,4,2,2,1,4,2,1,1,1
324,3,3,1,2,3,3,1,4,2,1,1,1
135,3,3,3,5,3,6,1,5,2,1,1,1
328,4,4,2,3,1,2,1,6,2,1,1,1
414,5,5,2,6,2,3,1,6,2,1,1,1
41,2,2,2,3,4,4,1,6,2,1,1,1
327,2,3,3,4,2,5,1,6,2,1,1,1
325,1,1,1,4,1,2,1,5,3,1,1,1
303,1,1,1,5,2,2,2,1,4,1,1,1
550,2,1,1,6,1,2,4,3,1,5,1,1
225,2,2,1,2,1,2,1,2,0,1,2,1
182,2,2,1,4,2,2,1,5,0,1,2,1
343,1,1,1,6,1,2,1,6,0,1,2,1
224,2,3,1,5,1,3,1,1,1,1,2,1
410,5,3,1,5,1,5,1,1,1,1,2,1
531,4,4,1,5,3,3,1,2,1,1,2,1
525,5,6,4,0,6,5,1,2,1,1,2,1
271,3,3,3,1,1,3,1,3,1,1,2,1
52,2,0,2,5,4,5,2,3,1,1,2,1
290,2,2,1,3,2,2,1,4,1,1,2,1
48,3,2,2,4,4,3,1,4,1,1,2,1
59,2,3,2,1,1,2,1,5,1,1,2,1
363,5,3,2,4,2,2,1,5,1,1,2,1
150,2,3,1,5,2,2,1,5,1,1,2,1
368,2,3,1,5,2,2,1,5,1,1,2,1
544,3,2,1,2,3,2,1,5,1,1,2,1
261,3,3,2,0,4,3,1,5,1,1,2,1
326,2,2,1,5,1,4,1,5,1,1,2,1
466,2,3,1,3,2,4,1,5,1,1,2,1
