,Besancenot,Buffet,Schivardi,Bayrou,Bové,Voynet,de Villiers,Royal,Nihous,Le Pen,Laguiller,Sarkozy
283,3,5,1,1,3,4,1,5,1,1,2,1
513,2,2,1,3,2,4,1,6,1,1,2,1
362,4,4,1,5,2,4,1,6,1,1,2,1
259,4,3,4,5,4,1,1,1,2,1,2,1
505,1,1,1,4,4,2,1,1,2,1,2,1
27,2,2,2,3,2,2,2,1,2,1,2,1
369,2,2,2,3,3,2,2,1,2,1,2,1
85,5,3,4,5,3,3,2,1,2,1,2,1
106,4,3,4,4,2,3,1,2,2,1,2,1
240,3,2,2,6,2,3,1,5,2,1,2,1
79,3,3,1,5,3,4,1,5,2,1,2,1
17,2,2,2,3,4,2,2,5,2,1,2,1
370,3,4,1,5,2,3,3,5,2,1,2,1
424,4,5,2,6,3,4,1,6,2,1,2,1
413,3,3,2,5,3,5,1,6,2,1,2,1
181,3,2,2,5,2,3,1,4,3,1,2,1
406,2,2,1,5,2,0,1,6,3,1,2,1
484,5,4,1,2,5,2,1,2,1,1,3,1
403,3,3,1,3,1,3,1,3,1,1,3,1
425,5,6,4,2,5,4,1,3,1,1,3,1
411,3,5,2,2,5,0,1,4,1,1,3,1
427,5,2,1,3,1,1,1,4,1,1,3,1
146,2,3,1,5,2,1,1,4,1,1,3,1
540,4,4,1,5,2,1,1,4,1,1,3,1
496,3,3,2,4,2,4,1,5,1,1,3,1
118,3,4,1,4,3,4,1,5,1,1,3,1
502,4,3,1,2,1,5,1,5,1,1,3,1
260,5,2,1,2,4,5,1,5,1,1,3,1
250,3,5,2,3,4,6,1,5,1,1,3,1
50,3,3,1,5,2,2,2,5,1,1,3,1
191,5,4,2,5,3,2,2,5,1,1,3,1
227,1,2,1,5,1,2,1,6,1,1,3,1
450,6,5,2,3,4,2,1,6,1,1,3,1
555,4,4,1,2,5,2,1,6,1,1,3,1
44,3,3,1,5,3,4,1,6,1,1,3,1
433,2,4,1,1,1,5,1,6,1,1,3,1
219,1,3,1,5,4,5,1,6,1,1,3,1
494,3,3,3,5,4,5,1,6,1,1,3,1
468,5,3,1,6,5,5,1,6,1,1,3,1
228,5,1,2,5,3,4,1,3,2,1,3,1
546,4,3,4,2,3,2,1,4,2,1,3,1
45,4,5,2,1,4,4,1,6,2,1,3,1
438,5,5,5,4,5,5,1,5,3,1,3,1
300,5,5,5,4,3,3,1,6,3,1,3,1
503,4,5,0,2,4,4,1,2,0,1,4,1
371,5,4,1,6,4,2,1,6,0,1,4,1
553,5,5,0,2,5,5,2,6,0,1,4,1
198,5,4,1,3,2,2,1,3,1,1,4,1
358,4,4,1,5,3,4,1,3,1,1,4,1
445,5,4,1,6,5,4,1,3,1,1,4,1
332,2,3,1,6,2,4,1,4,1,1,4,1
170,6,6,2,2,5,4,1,4,1,1,4,1
401,6,4,1,2,5,2,1,5,1,1,4,1
37,4,4,3,4,2,5,1,5,1,1,4,1
99,4,4,2,4,3,5,1,5,1,1,4,1
267,4,6,2,4,4,5,1,5,1,1,4,1
83,4,5,3,3,5,4,1,6,1,1,4,1
418,4,4,1,1,1,5,1,6,1,1,4,1
256,4,5,1,4,2,6,1,6,1,1,4,1
380,3,5,4,4,4,6,1,6,1,1,4,1
209,3,1,1,5,3,2,2,6,1,1,4,1
487,6,5,4,5,5,6,4,3,2,1,4,1
470,4,4,1,6,2,2,1,5,2,1,4,1
558,5,4,2,3,5,3,1,3,3,1,4,1
500,4,4,2,5,4,5,1,4,3,1,4,1
57,4,3,4,0,4,5,3,3,4,1,4,1
232,3,1,2,5,4,4,1,6,4,1,4,1
515,6,4,1,5,2,2,1,5,2,2,4,1
488,5,5,1,6,6,6,1,6,1,1,5,1
407,5,6,2,1,4,4,1,5,2,1,5,1
221,5,5,2,4,5,5,1,6,2,1,5,1
217,6,4,2,3,3,4,1,6,3,1,5,1
435,5,5,1,5,5,5,1,6,4,1,5,1
455,6,2,2,4,5,6,2,2,3,6,5,1
508,6,4,1,2,6,3,1,2,1,1,6,1
297,6,5,1,4,6,1,1,5,1,1,6,1
419,6,6,6,1,6,2,1,2,2,1,6,1
330,6,4,2,1,2,3,1,2,2,1,6,1
205,2,4,4,2,6,2,1,6,2,1,6,1
306,5,5,1,4,3,5,2,6,2,1,6,1
286,5,6,3,4,3,3,2,4,3,1,6,1
329,4,3,1,4,3,4,1,5,1,1,0,2
489,2,1,1,4,2,3,1,4,1,1,1,2
319,1,2,1,6,1,1,1,5,1,1,1,2
31,2,2,1,4,1,3,1,6,1,1,1,2
208,2,2,1,4,1,3,1,2,1,1,2,2
465,2,3,1,4,1,3,1,5,1,1,2,2
322,1,2,1,3,2,2,1,4,2,1,2,2
336,2,2,2,5,2,3,1,4,2,1,2,2
21,0,1,1,5,3,2,1,4,1,1,3,2
449,3,4,3,0,5,4,1,4,1,1,3,2
453,2,2,1,4,2,3,1,6,1,1,3,2
359,3,4,1,6,4,5,1,6,1,1,3,2
519,4,5,3,4,5,6,1,3,2,1,3,2
1,5,3,2,5,4,6,1,5,2,1,3,2
178,4,4,2,2,3,3,2,6,2,1,3,2
345,3,3,2,4,4,4,2,6,2,1,3,2
202,4,3,2,5,3,5,3,6,2,1,3,2
417,5,4,3,4,3,4,1,2,3,1,3,2
210,5,3,3,4,2,4,1,5,3,1,3,2
158,2,5,2,2,1,3,1,5,1,1,4,2
70,5,3,1,5,2,1,1,2,2,1,4,2
516,4,4,3,4,3,3,1,5,2,1,4,2
77,4,4,1,4,4,4,1,6,2,1,4,2
107,5,4,4,3,4,4,4,3,5,1,4,2
497,6,5,3,3,4,3,1,4,0,1,5,2
112,6,5,4,2,3,2,1,4,2,1,5,2
521,5,5,4,4,5,3,3,5,5,3,5,2
293,5,4,3,2,2,3,1,3,1,1,6,2
366,6,5,2,3,5,5,1,4,2,1,6,2
317,6,5,3,3,1,4,1,2,3,1,6,2
67,4,4,0,5,4,4,1,5,0,0,0,3
162,2,4,3,6,3,4,2,5,0,1,0,3
266,1,2,1,4,1,2,1,0,1,1,1,3
394,1,2,1,3,1,2,2,0,1,1,1,3
252,1,1,1,5,1,1,3,1,1,1,1,3
177,1,1,1,4,1,1,1,2,1,1,1,3
169,1,2,1,6,1,4,1,2,1,1,1,3
551,1,1,1,4,1,1,1,3,1,1,1,3
138,2,3,1,5,2,4,1,3,1,1,1,3
35,3,2,1,3,1,2,1,4,1,1,1,3
216,1,1,1,5,1,2,1,4,1,1,1,3
92,2,2,1,5,1,3,1,4,1,1,1,3
14,2,1,1,4,2,4,1,4,1,1,1,3
299,2,2,1,5,2,2,1,6,1,1,1,3
100,0,0,1,3,1,3,1,6,1,1,1,3
237,2,2,1,3,1,3,1,6,1,1,1,3
51,1,3,1,6,3,6,1,6,1,1,1,3
375,3,2,2,5,2,2,2,3,2,1,1,3
285,1,2,2,3,2,2,1,4,2,1,1,3
18,2,2,2,5,2,3,2,4,2,1,1,3
398,1,1,5,5,1,2,2,6,2,1,1,3
148,1,1,1,2,1,1,3,1,0,4,1,3
108,2,1,1,5,2,2,2,2,1,1,2,3
258,4,2,2,5,1,4,1,3,1,1,2,3
298,1,2,1,5,1,1,2,3,1,1,2,3
492,1,2,1,5,1,2,2,3,1,1,2,3
382,2,2,1,5,2,3,1,4,1,1,2,3
245,3,3,2,5,2,3,1,4,1,1,2,3
523,3,1,1,3,3,3,1,4,1,1,2,3
556,2,4,1,6,2,2,1,5,1,1,2,3
199,2,2,2,2,5,2,2,2,2,1,2,3
173,3,2,2,4,3,2,1,3,2,1,2,3
186,1,0,1,5,1,3,1,3,2,1,2,3
114,4,2,1,5,1,4,1,5,2,1,2,3
434,4,2,2,5,2,5,1,5,2,1,2,3
244,3,3,2,6,3,4,2,5,2,1,2,3
320,2,2,2,5,0,4,1,6,2,1,2,3
473,4,3,1,4,4,1,1,5,4,1,2,3
68,2,2,2,5,1,3,1,5,1,1,3,3
391,6,5,2,4,3,4,1,5,1,1,3,3
446,3,3,1,4,3,4,1,6,1,1,3,3
141,3,3,2,5,3,2,1,4,2,1,3,3
34,2,2,2,3,3,3,1,4,2,1,3,3
257,3,3,2,4,3,4,1,4,2,1,3,3
440,3,4,2,5,2,4,1,6,2,1,3,3
514,5,5,3,5,4,4,4,6,2,1,3,3
26,3,3,3,3,2,3,3,3,3,1,3,3
464,2,3,1,6,1,2,1,5,3,1,3,3
526,5,6,2,6,5,5,1,5,3,1,3,3
129,1,3,2,5,1,3,1,6,3,1,3,3
39,3,3,3,4,4,2,1,6,5,1,3,3
338,4,5,2,3,2,3,1,4,2,1,4,3
482,3,4,1,5,3,4,1,6,2,1,4,3
119,4,4,0,3,2,3,2,4,0,3,4,3
204,3,2,1,3,1,1,2,2,1,5,4,3
161,5,4,3,4,4,4,0,5,3,5,4,3
139,1,1,2,2,1,2,3,1,0,6,4,3
323,5,6,4,4,5,4,3,4,4,3,5,3
480,5,4,3,3,3,2,1,1,3,4,5,3
467,1,1,1,4,1,1,1,1,1,1,1,4
475,1,1,1,3,4,1,2,1,1,1,1,4
265,1,1,1,4,1,2,0,2,1,1,1,4
229,1,1,1,2,1,1,1,2,1,1,1,4
94,1,2,3,5,1,1,1,2,1,1,1,4
152,1,1,1,5,1,2,1,3,1,1,1,4
378,2,2,1,3,2,2,1,3,1,1,1,4
388,1,1,1,5,3,2,1,3,1,1,1,4
184,1,1,1,3,1,3,1,3,1,1,1,4
195,1,1,1,4,1,3,1,3,1,1,1,4
23,1,1,1,2,1,2,2,3,1,1,1,4
524,1,2,1,5,2,2,2,3,1,1,1,4
233,2,2,1,5,2,3,2,3,1,1,1,4
81,1,2,1,4,1,1,3,3,1,1,1,4
212,1,1,1,5,1,2,3,3,1,1,1,4
549,1,1,1,4,1,1,1,4,1,1,1,4
386,1,1,1,5,1,1,1,4,1,1,1,4
279,3,3,1,3,1,2,1,4,1,1,1,4
383,1,1,1,5,1,2,1,4,1,1,1,4
76,1,1,1,5,2,3,1,4,1,1,1,4
104,3,3,1,5,2,4,1,4,1,1,1,4
56,2,0,1,5,1,2,2,4,1,1,1,4
163,3,3,3,6,1,2,2,4,1,1,1,4
43,2,2,1,1,2,2,2,4,1,1,1,4
307,2,2,1,5,2,2,2,4,1,1,1,4
82,2,1,1,4,2,2,1,5,1,1,1,4
353,3,3,1,4,1,3,1,5,1,1,1,4
73,2,1,1,4,3,3,1,5,1,1,1,4
66,3,2,3,6,4,5,1,5,1,1,1,4
384,3,3,1,5,1,3,5,5,1,1,1,4
194,1,1,1,1,1,4,1,6,1,1,1,4
478,2,2,1,5,2,4,1,6,1,1,1,4
462,1,2,1,1,2,2,2,6,1,1,1,4
277,1,2,1,5,3,1,1,2,2,1,1,4
11,2,1,2,4,1,1,3,3,2,1,1,4
254,1,1,2,3,2,2,3,3,2,1,1,4
213,1,2,2,5,3,2,1,4,2,1,1,4
448,2,1,1,6,1,3,1,5,2,1,1,4
312,1,2,1,5,1,2,1,0,4,1,1,4
136,1,1,1,4,1,2,2,1,4,1,1,4
351,1,1,3,3,3,3,1,1,1,2,1,4
270,1,1,1,3,2,3,2,2,1,2,1,4
236,1,1,1,3,1,1,1,3,3,2,1,4
354,2,3,2,4,1,5,1,3,2,3,1,4
38,1,2,2,4,1,2,2,2,1,1,2,4
474,2,2,1,4,2,2,0,3,1,1,2,4
397,2,1,1,5,2,2,1,3,1,1,2,4
539,2,2,2,6,2,2,2,3,1,1,2,4
493,1,2,1,6,1,1,1,4,1,1,2,4
483,2,2,1,4,2,3,1,4,1,1,2,4
241,2,3,1,5,3,3,1,4,1,1,2,4
86,2,2,1,5,3,4,2,4,1,1,2,4
71,2,0,1,6,3,3,3,4,1,1,2,4
341,3,1,1,6,0,1,1,5,1,1,2,4
355,3,2,1,5,3,2,1,5,1,1,2,4
3,1,2,1,4,4,4,1,5,1,1,2,4
294,2,2,1,4,4,4,2,5,1,1,2,4
333,2,3,1,5,4,3,3,5,1,1,2,4
275,3,3,1,4,2,3,1,6,1,1,2,4
4,4,4,2,5,3,3,1,6,1,1,2,4
548,2,2,2,5,3,5,2,6,1,1,2,4
367,2,3,2,6,2,2,2,2,2,1,2,4
389,1,2,2,3,1,2,1,3,2,1,2,4
447,2,2,2,3,2,2,1,3,2,1,2,4
62,2,1,1,4,1,3,4,3,2,1,2,4
69,2,2,2,4,2,2,1,4,2,1,2,4
166,1,3,1,4,3,3,1,6,2,1,2,4
426,3,3,3,5,5,5,1,5,3,1,2,4
393,2,2,1,6,3,3,1,3,4,1,2,4
262,4,4,2,6,2,2,1,4,4,1,2,4
443,4,3,2,5,2,1,3,4,1,2,2,4
347,4,4,1,5,3,4,0,2,2,2,2,4
530,2,2,2,5,0,0,3,3,2,2,2,4
528,2,2,1,3,2,2,3,4,2,3,2,4
201,4,4,2,5,3,3,2,5,2,3,2,4
315,4,3,1,4,1,2,3,3,1,4,2,4
145,2,2,1,3,1,3,1,4,1,1,3,4
532,2,3,2,6,2,3,1,5,1,1,3,4
498,3,2,2,5,3,4,1,6,2,1,3,4
80,4,2,2,6,2,5,5,6,2,1,3,4
387,4,3,1,4,3,4,1,3,3,1,3,4
142,3,4,1,6,1,1,1,4,3,1,3,4
364,3,3,1,5,3,4,1,5,3,1,3,4
36,4,4,0,5,4,5,4,6,0,2,3,4
559,1,1,1,3,1,3,1,2,2,3,3,4
9,3,4,1,4,4,3,3,4,2,4,3,4
291,3,2,1,4,1,2,5,3,4,6,3,4
356,2,4,1,6,4,5,1,6,1,1,4,4
122,2,4,4,6,4,5,4,4,2,1,4,4
547,4,2,1,4,2,2,1,5,2,1,5,4
529,5,1,1,5,4,3,2,5,1,2,5,4
164,0,0,0,0,0,0,0,0,0,0,0,5
282,0,0,0,4,0,0,0,3,0,0,0,5
302,0,0,0,5,0,0,1,3,0,1,0,5
301,0,1,0,3,1,0,0,4,0,1,0,5
284,1,3,0,4,0,0,4,2,0,3,0,5
2,0,0,0,3,2,2,0,3,0,3,0,5
109,1,1,1,6,1,2,2,2,0,1,1,5
12,1,1,1,6,3,1,1,1,1,1,1,5
24,2,1,1,3,1,1,2,1,1,1,1,5
46,1,1,1,1,1,1,4,1,1,1,1,5
160,1,1,1,5,1,1,1,2,1,1,1,5
203,1,1,1,6,1,2,1,2,1,1,1,5
40,1,1,1,5,1,1,4,2,1,1,1,5
13,1,2,1,4,1,1,1,3,1,1,1,5
423,1,1,1,5,1,1,1,3,1,1,1,5
238,1,1,1,6,1,2,1,3,1,1,1,5
127,1,1,1,6,1,2,2,3,1,1,1,5
247,1,2,1,4,2,3,3,3,1,1,1,5
105,1,1,1,6,5,1,1,4,1,1,1,5
313,3,3,2,5,2,4,1,4,1,1,1,5
218,3,2,1,5,1,2,3,4,1,1,1,5
357,1,1,1,6,3,1,0,5,1,1,1,5
102,2,4,1,6,1,2,1,5,1,1,1,5
331,4,1,1,5,5,5,1,5,1,1,1,5
125,1,2,1,5,1,1,2,5,1,1,1,5
296,2,1,2,4,1,3,2,1,2,1,1,5
153,1,1,1,2,1,1,1,2,2,1,1,5
188,1,1,1,5,2,2,2,3,2,1,1,5
305,2,2,1,6,1,3,3,3,2,1,1,5
316,1,1,1,3,2,2,3,4,2,1,1,5
55,1,2,1,6,1,3,4,4,2,1,1,5
459,1,1,1,6,1,2,3,5,2,1,1,5
84,1,2,1,4,1,2,3,3,3,1,1,5
311,1,1,2,3,1,2,6,2,1,2,1,5
214,3,1,1,3,1,4,2,3,1,2,1,5
89,3,3,2,4,3,3,4,4,1,2,1,5
174,1,1,1,4,1,0,6,1,1,3,1,5
365,1,2,1,4,2,3,2,2,1,3,1,5
187,1,3,2,4,1,3,4,3,1,3,1,5
249,1,1,1,5,1,1,1,4,1,3,1,5
471,1,1,1,4,1,1,5,1,2,3,1,5
557,1,2,1,4,1,2,5,3,2,3,1,5
511,2,1,1,3,1,1,6,3,2,3,1,5
361,1,1,1,4,1,2,3,3,3,3,1,5
416,1,1,1,3,1,1,3,2,1,4,1,5
16,3,1,1,4,1,2,4,2,1,4,1,5
172,1,1,1,4,1,2,4,3,4,4,1,5
421,1,1,1,1,1,1,6,1,5,5,1,5
499,1,1,1,4,1,4,5,5,5,5,1,5
321,1,1,1,1,1,2,5,1,1,6,1,5
400,1,0,1,0,1,2,2,1,5,6,1,5
175,2,2,2,6,1,2,2,3,0,1,2,5
226,4,2,1,5,2,2,3,5,0,1,2,5
273,1,2,0,3,4,6,1,0,1,1,2,5
91,2,2,1,5,1,2,1,3,1,1,2,5
437,3,4,3,4,1,2,2,3,1,1,2,5
98,3,3,2,4,2,2,1,4,1,1,2,5
289,3,4,1,5,2,4,1,5,1,1,2,5
287,2,2,1,5,1,3,1,6,1,1,2,5
340,2,2,1,5,1,2,2,6,1,1,2,5
93,2,1,1,6,1,2,3,2,2,1,2,5
295,4,3,2,4,2,4,3,4,2,1,2,5
348,1,1,1,5,2,3,4,4,2,1,2,5
304,2,1,1,6,2,3,1,5,2,1,2,5
430,3,2,1,6,2,4,1,5,2,1,2,5
263,2,3,2,3,3,4,1,5,2,1,2,5
442,2,2,2,4,2,2,3,5,2,1,2,5
144,1,3,3,4,2,2,5,5,2,1,2,5
206,3,3,4,6,2,3,1,6,2,1,2,5
156,3,3,2,5,1,3,3,1,3,1,2,5
176,2,1,1,5,1,3,1,3,3,1,2,5
113,1,2,2,5,2,3,5,3,3,1,2,5
179,3,2,3,5,4,3,3,5,3,1,2,5
159,3,2,1,3,2,2,1,3,1,2,2,5
196,1,2,1,5,1,2,2,4,1,2,2,5
518,1,1,1,3,1,1,1,1,1,3,2,5
7,2,2,1,3,1,2,3,3,1,3,2,5
189,1,2,1,6,2,3,2,4,1,3,2,5
75,3,2,1,5,2,4,4,5,1,3,2,5
22,3,3,2,6,2,4,0,5,2,3,2,5
479,2,3,1,5,1,2,4,4,3,3,2,5
422,1,2,1,4,1,1,6,2,1,4,2,5
420,3,4,1,6,1,4,2,3,1,4,2,5
281,2,3,1,4,2,2,2,4,1,4,2,5
116,4,3,1,5,2,4,2,2,1,1,3,5
200,1,2,1,5,2,2,1,3,1,1,3,5
533,3,3,2,4,2,3,5,4,1,1,3,5
399,1,1,1,5,3,1,1,5,1,1,3,5
278,2,3,3,4,2,3,5,2,2,1,3,5
543,4,2,2,2,4,2,2,3,2,1,3,5
222,2,3,1,5,4,4,2,4,2,1,3,5
495,3,3,2,4,4,3,3,5,2,1,3,5
415,3,4,3,6,3,2,2,4,3,1,3,5
352,2,3,3,5,1,4,3,6,3,1,3,5
373,3,3,2,0,2,3,0,4,4,1,3,5
117,3,3,3,4,3,3,3,3,3,3,3,5
541,2,3,2,5,1,3,2,5,2,4,3,5
527,6,3,2,5,2,2,1,6,1,1,4,5
131,4,1,1,6,1,5,1,5,2,1,4,5
185,6,4,1,5,3,4,1,5,3,1,4,5
310,5,4,3,5,4,6,3,5,3,1,4,5
390,2,1,2,3,1,1,3,3,2,4,4,5
292,5,5,2,4,5,5,4,4,2,4,4,5
180,5,5,1,4,4,4,5,5,1,6,4,5
510,4,5,2,5,4,5,4,6,2,1,5,5
15,4,2,1,2,1,5,2,3,1,3,5,5
19,3,3,2,4,4,5,6,3,5,5,5,5
243,5,2,2,4,2,2,1,4,2,1,6,5
486,0,0,0,0,0,0,0,0,0,0,0,6
255,0,0,0,3,0,0,0,0,0,0,0,6
96,2,3,3,4,2,0,0,2,3,0,0,6
47,2,1,3,2,0,1,3,0,0,1,0,6
95,3,0,0,0,0,0,5,0,0,4,0,6
190,1,2,1,5,2,3,3,3,2,4,0,6
74,4,4,2,4,1,2,4,1,4,4,0,6
128,1,1,1,1,1,1,1,1,1,1,1,6
147,1,1,1,2,1,1,1,1,1,1,1,6
264,1,1,1,4,1,1,1,1,1,1,1,6
334,1,1,1,1,1,1,2,1,1,1,1,6
542,1,1,1,2,1,2,2,1,1,1,1,6
349,1,1,1,5,1,2,6,1,1,1,1,6
193,1,1,1,3,1,1,1,2,1,1,1,6
61,1,1,1,4,1,2,1,2,1,1,1,6
197,1,1,1,6,1,1,2,2,1,1,1,6
439,2,1,1,2,1,2,3,2,1,1,1,6
274,1,1,1,5,1,4,6,2,1,1,1,6
405,1,1,1,3,1,1,1,3,1,1,1,6
272,1,1,1,5,1,3,1,3,1,1,1,6
520,1,2,1,5,2,4,2,3,1,1,1,6
242,1,1,2,3,1,1,3,3,1,1,1,6
140,1,1,1,5,1,1,3,3,1,1,1,6
5,1,1,2,4,3,1,1,4,1,1,1,6
457,1,1,1,6,1,1,1,5,1,1,1,6
412,2,2,1,6,1,1,1,5,1,1,1,6
538,4,4,1,5,1,2,3,5,1,1,1,6
53,1,1,1,5,4,4,1,6,1,1,1,6
10,1,1,1,5,1,2,3,1,2,1,1,6
441,1,1,1,4,1,2,1,2,2,1,1,6
372,2,2,1,2,1,1,2,2,2,1,1,6
522,2,2,1,3,1,3,4,2,2,1,1,6
428,2,2,2,3,1,1,2,3,2,1,1,6
314,1,3,1,5,1,3,2,3,2,1,1,6
451,2,1,1,5,1,3,1,4,2,1,1,6
58,1,2,2,5,2,4,2,4,2,1,1,6
134,3,2,1,5,2,0,3,4,2,1,1,6
431,3,1,2,0,1,4,4,4,2,1,1,6
223,1,1,2,5,2,3,4,5,2,1,1,6
536,1,1,2,6,1,1,1,2,3,1,1,6
72,1,1,1,5,1,3,3,3,3,1,1,6
235,3,3,2,5,1,4,1,4,3,1,1,6
376,1,2,1,5,1,2,4,2,4,1,1,6
344,1,1,1,1,1,1,1,1,1,2,1,6
377,1,1,1,2,1,1,2,1,1,2,1,6
231,1,1,1,5,1,2,2,3,1,2,1,6
230,2,2,1,4,2,2,2,3,1,2,1,6
432,1,1,1,4,1,1,4,3,1,2,1,6
8,4,3,0,4,1,3,3,4,1,2,1,6
456,0,1,1,4,1,1,3,1,2,2,1,6
154,1,2,2,3,2,3,4,2,2,2,1,6
133,2,1,1,3,1,1,5,2,2,2,1,6
168,1,2,1,4,1,2,2,3,2,2,1,6
537,5,1,1,6,2,1,1,1,1,3,1,6
29,1,1,1,1,1,2,5,1,1,3,1,6
130,1,1,1,1,1,1,2,2,1,3,1,6
461,1,2,1,3,1,2,4,2,1,3,1,6
253,1,1,1,4,1,1,4,5,1,3,1,6
155,1,1,1,4,1,1,3,4,2,3,1,6
157,1,1,1,4,1,1,1,4,4,3,1,6
402,1,1,1,5,0,2,3,4,4,3,1,6
30,1,1,4,4,1,2,3,4,4,3,1,6
6,1,1,1,5,1,1,4,1,1,4,1,6
535,1,1,1,2,1,1,5,1,1,4,1,6
512,1,1,1,2,1,1,5,2,1,4,1,6
472,1,2,2,5,1,2,4,4,1,4,1,6
379,1,1,1,4,1,1,4,3,2,4,1,6
63,1,1,2,2,2,2,5,3,2,4,1,6
436,1,1,1,1,1,1,1,1,1,5,1,6
120,1,1,1,2,1,1,5,1,1,5,1,6
165,1,1,1,2,1,1,5,1,2,5,1,6
395,2,2,1,5,2,2,4,2,2,5,1,6
87,1,1,1,0,1,1,5,1,4,5,1,6
110,1,1,2,4,1,1,6,5,4,5,1,6
49,1,1,1,3,1,2,6,1,3,6,1,6
477,1,1,1,4,1,1,5,3,4,6,1,6
251,2,1,1,5,2,1,1,2,1,1,2,6
121,1,1,1,2,2,2,1,2,1,1,2,6
115,2,1,1,4,1,2,3,2,1,1,2,6
60,1,1,1,3,1,1,1,3,1,1,2,6
88,1,1,1,3,1,2,1,4,1,1,2,6
342,1,1,2,5,1,3,1,2,2,1,2,6
137,2,1,2,4,1,2,4,2,2,1,2,6
309,2,3,2,6,2,3,4,3,2,1,2,6
335,3,3,2,4,2,5,4,3,2,1,2,6
385,1,3,1,4,1,2,2,4,2,1,2,6
517,1,1,1,5,1,3,2,1,3,1,2,6
192,3,3,1,6,2,3,2,6,3,1,2,6
167,2,2,2,1,2,2,2,1,2,2,2,6
126,4,3,3,5,3,3,4,2,2,2,2,6
460,3,3,1,4,1,2,2,6,2,2,2,6
534,1,2,1,1,1,3,5,1,1,3,2,6
151,2,2,2,3,2,2,2,2,2,3,2,6
506,4,4,3,3,4,4,3,3,2,3,2,6
269,1,3,2,4,3,2,4,4,2,3,2,6
42,1,2,1,4,1,2,1,4,1,4,2,6
54,1,1,2,5,1,1,3,1,2,4,2,6
458,2,2,2,4,3,2,3,4,2,4,2,6
268,3,3,4,5,1,3,4,1,3,4,2,6
211,2,2,2,4,2,3,4,4,5,4,2,6
207,2,2,2,5,2,2,5,4,2,5,2,6
