,Besancenot,Buffet,Schivardi,Bayrou,Bové,Voynet,de Villiers,Royal,Nihous,Le Pen,Laguiller,Sarkozy
120568,0,0,0,6,0,0,0,0,0,0,0,0
120112,2,3,1,6,1,2,1,0,0,0,0,0
120573,0,0,0,0,0,0,4,0,0,0,0,0
120320,2,6,0,2,0,4,4,0,0,0,0,0
120565,0,0,0,0,0,0,0,5,0,0,0,0
120570,0,0,0,0,0,0,0,5,0,0,0,0
120158,0,0,0,0,5,4,0,5,0,0,0,0
120536,6,0,0,0,0,0,0,6,0,0,0,0
120254,0,0,0,3,0,0,0,6,0,0,0,0
120564,0,0,0,0,0,0,0,0,0,6,0,0
120242,1,1,1,0,0,0,1,0,0,1,1,0
120222,5,2,4,3,1,1,0,6,3,1,3,0
120193,2,2,2,5,1,2,1,5,2,1,5,0
120308,0,0,0,0,0,0,0,0,0,1,0,1
120408,0,0,0,0,0,0,0,0,0,1,0,1
120361,5,0,0,4,3,3,1,5,0,1,0,1
120479,6,4,3,6,1,6,1,1,1,1,0,1
120065,6,1,1,4,5,1,1,2,1,1,0,1
120541,3,2,2,1,1,2,2,4,2,1,0,1
120130,4,3,1,3,3,4,1,3,3,1,0,1
120070,4,2,1,6,2,1,2,2,3,2,0,1
120443,6,4,4,4,4,1,5,0,5,6,0,1
120147,0,2,0,0,2,0,0,5,0,1,1,1
120091,5,1,1,4,1,3,2,6,0,1,1,1
120383,1,1,1,1,1,1,1,1,1,1,1,1
120520,1,1,1,1,1,1,1,1,1,1,1,1
120381,6,1,1,1,1,1,1,1,1,1,1,1
120002,1,6,1,1,1,1,1,2,1,1,1,1
120053,1,1,1,4,1,1,1,2,1,1,1,1
120057,1,3,1,5,2,2,1,3,1,1,1,1
120180,4,4,1,6,3,3,2,3,1,1,1,1
120014,1,1,1,2,1,1,1,4,1,1,1,1
120191,4,1,1,0,3,1,1,5,1,1,1,1
120293,4,3,1,5,4,1,1,5,1,1,1,1
120104,2,2,1,4,1,2,1,5,1,1,1,1
120382,1,4,1,1,1,4,1,5,1,1,1,1
120206,1,1,1,4,1,4,1,5,1,1,1,1
120324,4,4,1,4,4,4,1,5,1,1,1,1
120095,5,5,1,1,5,5,1,5,1,1,1,1
120464,1,0,1,5,2,3,1,6,1,1,1,1
120326,5,3,3,5,4,5,1,6,1,1,1,1
120224,1,2,2,3,2,2,2,2,2,1,1,1
120487,2,2,2,2,1,2,1,6,2,1,1,1
120350,4,3,2,5,2,3,1,6,2,1,1,1
120518,4,3,1,3,2,2,1,5,3,1,1,1
120531,2,1,1,4,4,3,1,5,3,1,1,1
120342,1,3,1,3,2,3,1,6,1,2,1,1
120221,1,1,1,5,1,1,3,4,1,3,1,1
120060,3,3,1,6,5,4,1,4,2,6,1,1
120460,2,3,1,6,2,2,1,5,0,1,2,1
120064,3,2,2,1,3,1,1,1,1,1,2,1
120557,3,3,2,5,2,4,1,2,1,1,2,1
120345,1,1,2,4,1,1,1,3,1,1,2,1
120441,2,2,1,2,2,2,1,3,1,1,2,1
120103,5,2,0,4,2,2,1,3,1,1,2,1
120084,5,6,2,1,1,1,1,4,1,1,2,1
120306,3,2,1,5,2,3,1,4,1,1,2,1
120089,2,2,1,2,1,2,1,5,1,1,2,1
120305,3,2,1,2,2,2,1,5,1,1,2,1
120170,3,3,2,5,2,2,1,5,1,1,2,1
120399,1,2,1,4,2,3,1,5,1,1,2,1
120544,4,3,2,6,2,3,1,5,1,1,2,1
120165,2,3,1,5,1,4,1,5,1,1,2,1
120425,2,3,1,3,2,4,1,5,1,1,2,1
120218,3,2,1,4,3,4,1,5,1,1,2,1
120548,3,5,1,5,4,4,1,5,1,1,2,1
120461,2,2,0,5,1,2,2,5,1,1,2,1
120250,2,2,2,3,2,2,2,5,1,1,2,1
120349,5,5,2,2,4,5,2,5,1,1,2,1
120086,3,3,2,5,2,2,1,6,1,1,2,1
120212,2,2,1,4,2,3,1,6,1,1,2,1
120260,3,2,1,4,3,3,1,6,1,1,2,1
120347,4,4,2,5,3,5,1,6,1,1,2,1
120122,3,2,2,4,5,6,1,6,1,1,2,1
120259,3,4,2,3,4,5,2,6,1,1,2,1
120477,2,2,2,5,2,4,1,2,2,1,2,1
120429,4,2,2,3,3,2,1,4,2,1,2,1
120188,4,4,2,4,2,3,1,4,2,1,2,1
120154,4,2,2,5,2,2,2,4,2,1,2,1
120123,2,2,2,3,2,3,2,4,2,1,2,1
120438,5,3,2,4,5,4,1,5,2,1,2,1
120344,5,2,1,3,6,6,1,5,2,1,2,1
120073,3,3,2,5,4,3,2,5,2,1,2,1
120052,3,3,2,4,3,2,1,6,2,1,2,1
120410,2,3,2,5,2,4,1,6,2,1,2,1
120261,5,5,1,6,2,4,5,6,1,5,2,1
120153,2,2,3,2,3,4,3,6,4,6,2,1
120111,5,3,2,6,5,4,2,5,0,1,3,1
120423,4,1,1,5,2,1,1,3,1,1,3,1
120516,4,3,2,4,2,3,1,3,1,1,3,1
120054,2,2,3,4,2,4,1,3,1,1,3,1
120184,3,2,2,2,2,3,1,4,1,1,3,1
120187,5,6,1,2,2,2,1,5,1,1,3,1
120348,3,2,1,5,2,3,1,5,1,1,3,1
120339,4,4,1,3,1,4,1,5,1,1,3,1
120141,4,3,1,5,3,4,1,5,1,1,3,1
120301,4,2,5,6,3,2,1,6,1,1,3,1
120126,4,3,1,4,3,4,1,6,1,1,3,1
120148,3,4,1,2,4,5,1,6,1,1,3,1
120204,3,3,1,5,3,6,1,6,1,1,3,1
120197,4,2,2,4,2,5,2,3,2,1,3,1
120012,2,3,2,2,2,4,1,4,2,1,3,1
120269,5,2,2,6,5,1,1,5,2,1,3,1
120195,4,3,2,6,2,3,1,5,2,1,3,1
120138,3,4,2,2,4,4,1,5,2,1,3,1
120413,5,2,2,4,3,2,2,1,3,1,3,1
120407,5,3,3,3,3,4,1,3,3,1,3,1
120051,4,3,4,4,4,4,2,4,3,1,3,1
120101,3,3,2,4,3,4,2,5,3,1,3,1
120048,5,3,4,3,4,3,1,6,3,1,3,1
120281,4,1,1,5,2,5,1,6,3,1,3,1
